Fbb,Cbb,Gbb,Dbb,Abb,Ebb,Bbb,Fb,Cb,Gb,Db,Ab,Eb,Bb,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#,F##,C##,G##,D##,A##,E##,B##,composer,periode,title_file,work_group,opus,no,mov,title,date,instruments
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,5.0,12.0,10.0,2.0,38.0,62.0,80.0,86.0,101.0,186.0,197.0,99.0,86.0,84.0,82.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,tantum_ergo_65_2,2 motets,65.0,2.0,,Tantum ergo,1894,vocal
0.0,0.0,0.0,0.0,3.0,5.0,41.0,95.0,127.0,332.0,471.0,565.0,312.0,361.0,382.0,282.0,166.0,148.0,98.0,80.0,80.0,39.0,23.0,26.0,10.0,9.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Valse_caprice_3_59,,59.0,,,Valse-Caprice n°3,1893,piano
0.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,32.0,42.0,54.0,90.0,169.0,173.0,201.0,228.0,303.0,341.0,199.0,154.0,134.0,115.0,77.0,65.0,22.0,19.0,9.0,6.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,Fauré,3,Barcarolle 11,,105.0,,,Barcarolle n°11,1915,piano
0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,26.0,9.0,24.0,70.0,56.0,74.0,136.0,176.0,292.0,141.0,172.0,213.0,183.0,90.0,30.0,40.0,44.0,24.0,10.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,Barcarolle 13,,116.0,,,Barcarolle n°13,1921,piano
0.0,0.0,0.0,0.0,9.0,5.0,31.0,30.0,38.0,93.0,142.0,200.0,107.0,71.0,163.0,120.0,114.0,71.0,101.0,107.0,125.0,75.0,83.0,82.0,27.0,36.0,11.0,10.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,Fauré,3,Barcarolle 8,,96.0,,,Barcarolle n°8,1906,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,8.0,10.0,29.0,145.0,280.0,166.0,221.0,351.0,375.0,193.0,66.0,24.0,46.0,40.0,4.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,barcarolle-9e-op-101-gabriel-faure,,101.0,,,Barcarolle n°9,1909,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,14.0,34.0,38.0,68.0,130.0,148.0,122.0,170.0,235.0,210.0,118.0,44.0,32.0,31.0,27.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,barcarolle-op-104-no-2-gabriel-faure,2 pièces,104.0,2.0,,Barcarolle n°10,1913,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,49.0,33.0,67.0,139.0,131.0,59.0,47.0,87.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,3,C'est la Paix,,114.0,,,C'est la paix,1919,vocal
0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,33.0,40.0,66.0,159.0,276.0,389.0,318.0,386.0,517.0,504.0,291.0,205.0,221.0,195.0,75.0,32.0,60.0,19.0,16.0,2.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,Fauré,3,Cello_sonata_2_117_mvt_1,Sonate pour violoncelle et piano n°2,117.0,,1.0,Sonate pour violoncelle et piano n°2,1921,chamber
0.0,0.0,0.0,0.0,0.0,9.0,3.0,36.0,67.0,93.0,223.0,468.0,609.0,672.0,878.0,1116.0,1191.0,760.0,415.0,553.0,377.0,188.0,155.0,96.0,99.0,34.0,16.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,Fauré,3,faure-piano-quintet-no2-movement-i,Quintette pour piano et cordes n°2,115.0,,1.0,Quintette pour piano et cordes n°2,1921,chamber
