composer,periode,title_file,work_group,opus,no,mov,title,date,instruments,shift_binomial,shift_binomial_tritones,shift_gamma,weights_binomial,weights_binomial_tritones,weights_gamma,probs_binomial,rate_gamma
Fauré,1,faure-piano-quartet-no1-movement-iv,Quatuor pour piano et cordes n°1,15.0,,4.0,Quatuor pour piano et cordes n°1,1879,chamber,20,20,22,[0.3569162  0.57249773 0.00192018 0.06056583 0.00699011 0.00110996],"[0.35042227 0.2233849  0.2675671  0.00279576 0.14498694 0.00282253
 0.00723894 0.00078157]",[0.56965263 0.41459036 0.00122944 0.00912305 0.00463856 0.00076598],0.6919487316208021,0.533839535713762
Fauré,1,gabriel-faure-apres-un-reve,3 mélodies,7.0,1.0,,Après un rêve,1877,vocal,21,20,21,"[5.01060850e-01 4.81183293e-01 4.58666376e-04 1.64760819e-02
 3.34023761e-04 4.87085031e-04]","[0.40321935 0.35399764 0.13723151 0.00197431 0.05228987 0.04937748
 0.00140037 0.00050948]","[5.29262154e-01 4.69016483e-01 4.12445776e-04 5.04277589e-04
 5.27834130e-04 2.76805748e-04]",0.7513163922926687,0.7549286442073849
Fauré,1,ici-bas-gabriel-faure,3 mélodies,8.0,3.0,,Ici-bas!,1874,vocal,15,14,14,"[5.07026799e-01 4.77870710e-01 2.13562290e-04 2.65566179e-03
 1.21364989e-02 9.67687181e-05]","[0.4272308  0.31166834 0.16109857 0.00096132 0.0501431  0.0469977
 0.00135192 0.00054826]","[4.27238312e-01 5.64335997e-01 4.38917335e-04 1.49807337e-03
 6.20046916e-03 2.88231066e-04]",0.6724510475466057,0.9355545348054013
Fauré,1,imoromptu_34_3,,34.0,,,Impromptu n°3,1883,piano,22,23,27,[0.04666591 0.65998448 0.00107189 0.10535028 0.12070822 0.06621923],"[0.18983356 0.46905933 0.00323273 0.07666992 0.15354347 0.07785937
 0.02905574 0.00074589]",[0.78819476 0.18726874 0.00476869 0.00596512 0.01265026 0.00115242],0.45653190038342545,0.5666133223109219
Fauré,1,impormptu_1_25,,24.0,,,Impromptu n°1,1881,piano,21,23,24,"[7.01190236e-02 6.67550036e-01 2.79377474e-04 1.53280045e-01
 7.35273223e-02 3.52441951e-02]","[0.32641545 0.27444351 0.00174632 0.18792657 0.11955377 0.04782743
 0.04100373 0.00108322]",[0.75035583 0.19884967 0.00523682 0.01346743 0.01119679 0.02089347],0.5397286342884886,0.35523472805123796
Fauré,1,les_roses_dispahan_39_4,4 mélodies,39.0,4.0,,Les roses d'Ispahan,1884,vocal,18,19,18,"[3.75081217e-01 5.69969966e-01 4.67168371e-04 5.26369886e-02
 3.07409981e-04 1.53724922e-03]","[0.19581411 0.45447346 0.02012645 0.3230033  0.00205253 0.00320697
 0.00054003 0.00078316]","[4.84337138e-01 5.14428238e-01 1.38603189e-04 5.38812013e-04
 4.33270932e-04 1.23938375e-04]",0.5188103853460334,0.596548412787781
Fauré,1,Le_secret_23_3,3 mélodies,23.0,3.0,,Le Secret,1879,vocal,22,21,26,"[1.24967416e-03 7.08517877e-01 2.08735800e-04 1.28359399e-01
 1.60178486e-01 1.48582788e-03]","[0.21055125 0.25957446 0.32024851 0.00080972 0.13565763 0.00135756
 0.07140266 0.0003982 ]","[7.36329565e-01 5.85545487e-02 7.70706987e-04 3.17934717e-03
 2.00854617e-01 3.11214868e-04]",0.5449571561457451,0.8367540221277014
Fauré,1,nocturne-in-eb-minor-op-33-nr-1-gabriel-faure,3 nocturnes,33.0,1.0,,Nocturne,1875,piano,23,22,27,"[4.03421501e-01 5.31593069e-01 1.45277759e-04 5.76015188e-02
 7.12365855e-03 1.14975035e-04]","[0.21094249 0.41992086 0.03021991 0.01442734 0.1280432  0.17495259
 0.02046871 0.0010249 ]","[7.45612406e-01 2.49975668e-01 3.95964192e-04 2.19797740e-03
 1.55347843e-03 2.64505575e-04]",0.7715921169220853,0.7014674377277326
Fauré,1,nocturne-no-4-op-36-gabriel-faure,,36.0,,,Nocturne n°4,1884,piano,23,22,26,"[2.14715894e-02 7.00091231e-01 1.98597288e-04 2.75747793e-01
 2.33362078e-03 1.57167939e-04]","[2.03329627e-01 4.56947315e-01 1.78945772e-01 4.61270005e-02
 1.08059652e-01 4.20149371e-03 2.03601979e-03 3.53119814e-04]","[7.06498788e-01 2.85433174e-01 5.56418928e-04 4.88433478e-03
 2.40289598e-03 2.24389115e-04]",0.5364534816496064,0.6598196128665208
Fauré,1,nocturne-nr3-en-la-bemol-majeur-op-33-gabriel-faure,3 nocturnes,33.0,3.0,,Nocturne,1883,piano,20,20,26,"[2.50550895e-03 7.61628780e-01 3.80930747e-04 9.67787067e-02
 1.24385975e-01 1.43200989e-02]","[0.23688147 0.23103468 0.11548105 0.00076715 0.18475582 0.18400815
 0.04649299 0.00057869]",[0.91557896 0.01944344 0.02217199 0.01128074 0.0279157  0.00360917],0.6010709254529027,0.3618799439375877
Fauré,1,nocturne_2_33_2,3 nocturnes,33.0,2.0,,Nocturne,1881,piano,13,14,14,"[4.26524608e-01 5.46842383e-01 4.74978434e-04 1.82519169e-02
 4.37638916e-04 7.46847420e-03]","[0.21174074 0.47878024 0.01964844 0.18549348 0.06554318 0.03737979
 0.00049466 0.00091946]",[0.54456835 0.45103621 0.00105704 0.00171608 0.00054511 0.00107721],0.6536672108445143,0.8912103378606542
Fauré,1,Romance_sans_paroles_Op_117_3,3 romances sans paroles,17.0,3.0,,romance sans paroles,1863,piano,22,23,22,"[1.56090904e-03 7.69594669e-01 1.61693054e-04 2.25667490e-01
 2.72557477e-04 2.74268078e-03]","[0.20367344 0.49386238 0.00122578 0.26633441 0.03021113 0.00298885
 0.00096006 0.00074395]","[1.21354193e-01 7.11969661e-01 1.30700908e-04 1.65330385e-01
 1.09501203e-03 1.20047771e-04]",0.3638196315091686,2.322747522635022
Fauré,1,Sylvie_2_op6,3 mélodies,6.0,3.0,,Sylvie,1878,vocal,19,20,19,"[3.78700679e-02 7.39807562e-01 5.79671392e-04 1.65297669e-01
 4.57298567e-02 1.07151734e-02]","[0.2436589  0.50754173 0.00159025 0.14142631 0.09375127 0.00991611
 0.00152368 0.00059176]","[1.66301825e-01 6.86794218e-01 3.39660502e-04 1.13608818e-01
 3.26278372e-02 3.27641747e-04]",0.4173985039748692,1.771341200406376
Fauré,1,tu_es_petrus,,,,,Tu es Petrus,1872,vocal,18,19,18,"[4.73972366e-01 5.11979350e-01 8.26034383e-03 3.75826691e-04
 5.30947748e-03 1.02636119e-04]","[0.20835632 0.41853267 0.00870894 0.19245844 0.10984226 0.06089929
 0.00059341 0.00060867]","[4.79326963e-01 5.19393171e-01 2.82090944e-04 4.18538415e-04
 3.11268130e-04 2.67968942e-04]",0.7164706137105055,0.7423816594895416
Fauré,1,Violin_sonata_1_13,Sonate pour violon n°1,13.0,,2.0,Sonate pour violon n°1,1876,chamber,18,17,19,[0.46826537 0.50400308 0.00430886 0.00944735 0.01304385 0.00093149],"[0.21570685 0.41293194 0.10400411 0.08259965 0.06722706 0.10568189
 0.01053855 0.00130994]",[0.55620268 0.44059042 0.00096896 0.00079698 0.00069755 0.00074342],0.6361007290303056,0.4777307957800807
Fauré,2,Allegro_Symphonique_68,,68.0,,,Allegro symphonique,1874,piano,19,19,20,[0.44198472 0.49409478 0.01856031 0.03587745 0.00176381 0.00771893],"[0.26490968 0.50001628 0.03460914 0.15260765 0.00270651 0.0414498
 0.00126648 0.00243447]",[0.54543313 0.44726274 0.00288589 0.00130316 0.00086979 0.00224529],0.7548905499774717,0.5534461695773636
Fauré,2,Au_cimetiere_51_2,4 mélodies,51.0,2.0,,Au cimetière,1888,vocal,18,17,18,[0.42183308 0.55119661 0.00143549 0.02306887 0.00060609 0.00185986],"[0.20465143 0.40641603 0.14361245 0.00448542 0.04630874 0.16976183
 0.02335249 0.00141161]","[4.38907900e-01 5.47519083e-01 8.31600369e-04 2.07193957e-03
 1.01923067e-02 4.77169662e-04]",0.7552639480753236,0.6778049372598703
